resource	path	type	required	default	validation	classification	owner	mutability	enforcement	moduleInteraction	migration	rule	purpose	decision
OpenBaoCluster	spec.audit	array<object>	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	Audit configures declarative audit devices for the OpenBao cluster.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.auditFileStorage	object	false	-	cel=6	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.auditFileStorage	AuditFileStorage configures a shared filesystem integration point for file audit devices.	-
OpenBaoCluster	spec.auditFileStorage.existingClaimName	string	false	-	minLength=1	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.auditFileStorage	ExistingClaimName is the name of a pre-created RWX PVC in the same namespace.	-
OpenBaoCluster	spec.auditFileStorage.mode	string	true	-	enum="ManagedPVC","ExistingPVC"	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.auditFileStorage	Mode selects whether the operator creates a dedicated RWX PVC or mounts an existing one.	-
OpenBaoCluster	spec.auditFileStorage.mountPath	string	false	"/openbao/audit"	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.auditFileStorage	MountPath is where the audit file storage PVC is mounted in OpenBao Pods.	-
OpenBaoCluster	spec.auditFileStorage.size	string	false	-	minLength=1	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.auditFileStorage	Size is the requested capacity for the managed audit file storage PVC.	-
OpenBaoCluster	spec.auditFileStorage.storageClassName	string	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.auditFileStorage	StorageClassName is an optional StorageClass for the managed audit file storage PVC.	-
OpenBaoCluster	spec.audit[].description	string	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	Description is an optional description for the audit device.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].fileOptions	object	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	FileOptions configures options for file audit devices.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].fileOptions.filePath	string	true	-	minLength=1	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	FilePath is the path to where the audit log will be written.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].fileOptions.mode	string	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	Mode is a string containing an octal number representing the bit pattern for the file mode.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].httpOptions	object	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	HTTPOptions configures options for HTTP audit devices.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].httpOptions.headers	unknown	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	Headers is a JSON object describing headers.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].httpOptions.uri	string	true	-	minLength=1	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	URI is the URI of the remote server where the audit logs will be written.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].options	unknown	false	-	-	likely-move	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit[].options	Options contains device-specific configuration options as a string map.	Raw options may remain an advanced contract or be narrowed after inventory review.
OpenBaoCluster	spec.audit[].path	string	true	-	minLength=1	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	Path is the path of the audit device in the root namespace.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
OpenBaoCluster	spec.audit[].socketOptions	object	false	-	-	additive-unfrozen	configuration	mutable	crd-schema,controller	none	required-if-changed	spec.audit	SocketOptions configures options for socket audit devices.	Declarative audit devices are supported, but the advanced fallback contract still needs a freeze decision.
