# Complete route ledger captured from the final Docusaurus build before the Hugo migration.
# Additional 0.4.x entries preserve the previous stable contract after 0.5.x becomes unprefixed stable.
# Columns: legacy route, canonical Hugo route, mapping evidence or disposition.
/	/	preserved canonical Hugo route
/0.4.x/	/0.4.x/	previous Hugo 0.4.x route
/0.4.x/docs/	/0.4.x/docs/	previous Hugo 0.4.x route
/0.4.x/docs/architecture/	/0.4.x/docs/architecture/	previous Hugo 0.4.x route
/0.4.x/docs/architecture/invariants-and-boundaries/	/0.4.x/docs/architecture/invariants-and-boundaries/	previous Hugo 0.4.x route
/0.4.x/docs/architecture/operations/	/0.4.x/docs/architecture/operations/	previous Hugo 0.4.x route
/0.4.x/docs/architecture/provisioning/	/0.4.x/docs/architecture/provisioning/	previous Hugo 0.4.x route
/0.4.x/docs/architecture/workload-lifecycle/	/0.4.x/docs/architecture/workload-lifecycle/	previous Hugo 0.4.x route
/0.4.x/docs/configure/	/0.4.x/docs/configure/	previous Hugo 0.4.x route
/0.4.x/docs/configure/air-gapped/	/0.4.x/docs/configure/air-gapped/	previous Hugo 0.4.x route
/0.4.x/docs/configure/expose/	/0.4.x/docs/configure/expose/	previous Hugo 0.4.x route
/0.4.x/docs/configure/gateway/	/0.4.x/docs/configure/gateway/	previous Hugo 0.4.x route
/0.4.x/docs/configure/initialize/	/0.4.x/docs/configure/initialize/	previous Hugo 0.4.x route
/0.4.x/docs/configure/monitor/	/0.4.x/docs/configure/monitor/	previous Hugo 0.4.x route
/0.4.x/docs/configure/network/	/0.4.x/docs/configure/network/	previous Hugo 0.4.x route
/0.4.x/docs/configure/read-replicas/	/0.4.x/docs/configure/read-replicas/	previous Hugo 0.4.x route
/0.4.x/docs/configure/security-profile/	/0.4.x/docs/configure/security-profile/	previous Hugo 0.4.x route
/0.4.x/docs/configure/server/	/0.4.x/docs/configure/server/	previous Hugo 0.4.x route
/0.4.x/docs/configure/storage/	/0.4.x/docs/configure/storage/	previous Hugo 0.4.x route
/0.4.x/docs/configure/unseal/	/0.4.x/docs/configure/unseal/	previous Hugo 0.4.x route
/0.4.x/docs/get-started/	/0.4.x/docs/get-started/	previous Hugo 0.4.x route
/0.4.x/docs/get-started/create-cluster/	/0.4.x/docs/get-started/create-cluster/	previous Hugo 0.4.x route
/0.4.x/docs/get-started/deployment-model/	/0.4.x/docs/get-started/deployment-model/	previous Hugo 0.4.x route
/0.4.x/docs/get-started/install/	/0.4.x/docs/get-started/install/	previous Hugo 0.4.x route
/0.4.x/docs/get-started/onboard-namespace/	/0.4.x/docs/get-started/onboard-namespace/	previous Hugo 0.4.x route
/0.4.x/docs/get-started/operator-authentication/	/0.4.x/docs/get-started/operator-authentication/	previous Hugo 0.4.x route
/0.4.x/docs/get-started/operator-authorization/	/0.4.x/docs/get-started/operator-authorization/	previous Hugo 0.4.x route
/0.4.x/docs/get-started/prepare-day-2/	/0.4.x/docs/get-started/prepare-day-2/	previous Hugo 0.4.x route
/0.4.x/docs/get-started/single-tenant/	/0.4.x/docs/get-started/single-tenant/	previous Hugo 0.4.x route
/0.4.x/docs/operate/	/0.4.x/docs/operate/	previous Hugo 0.4.x route
/0.4.x/docs/operate/backups/	/0.4.x/docs/operate/backups/	previous Hugo 0.4.x route
/0.4.x/docs/operate/decommission/	/0.4.x/docs/operate/decommission/	previous Hugo 0.4.x route
/0.4.x/docs/operate/maintenance/	/0.4.x/docs/operate/maintenance/	previous Hugo 0.4.x route
/0.4.x/docs/operate/production-readiness/	/0.4.x/docs/operate/production-readiness/	previous Hugo 0.4.x route
/0.4.x/docs/operate/recover-failed-rollback/	/0.4.x/docs/operate/recover-failed-rollback/	previous Hugo 0.4.x route
